"operator","origin_airport","destination_airport","airline","flight_number","aircraft_type","origin_time","origin_day_difference","destination_time","destination_day_difference","calendar","is_valid_from","is_valid_to","note_ja","date"
"JAL","HND","FUK","JAL","JL317","767","12:00",,"13:50",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00","10/1-29・5分遅着","2022-08-04T13:00:00+09:00"
"ANA","HND","FUK","SFJ","7G047/NH3847","32F","12:10",,"14:05",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH253/LH4920","788/763","12:30",,"14:15",,"日月　水木金土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH253/LH4920","788","12:30",,"14:15",,"　　火　　　　","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH253/LH4920","788","12:30",,"14:25",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","FUK","JAL","JL319","359","13:00",,"14:45",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","HND","FUK","JAL","JL319","359","13:00",,"14:50",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00","10/1-29・5分遅着","2022-08-04T13:00:00+09:00"
"JAL","HND","FUK","JAL","JL319","359","13:00",,"14:50",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","HND","FUK","SFJ","7G049/NH3849","32F","13:15",,"15:10",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH255/LH4922","789","13:40",,"15:30",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
